gvkey	datadate	fyear	indfmt	consol	popsrc	datafmt	tic	conm	curcd	aco	act	aqc	capx	ceq	che	cogs	cshfd	csho	cshpri	dlc	dltt	dp	epsfi	epsfx	gdwlip	ib	ibadj	invt	lct	mib	niadj	oiadp	oibdp	pstk	recd	rect	rectr	sale	seq	txt	wdp	xint	xpp	xsga	exchg	cik	costat	prcc_f	loc	sic
001045	20101231	2010	INDL	C	D	STD	AAL	AMERICAN AIRLINES GROUP INC	USD	560.0000	6838.0000	0.0000	1962.0000	-3945.0000	4946.0000	18138.0000	333.0000	333.4500	333.0000	1883.0000	9253.0000	995.0000	-1.4100	-1.4100		-471.0000	-471.0000	594.0000	8780.0000		-471.0000	308.0000	1303.0000	0.0000	58.0000	738.0000	738.0000	22170.0000	-3945.0000	-35.0000	-28.0000	823.0000	0.0000	2729.0000	14	0000006201	A	7.7900	USA	4512
001045	20111231	2011	INDL	C	D	STD	AAL	AMERICAN AIRLINES GROUP INC	USD	499.0000	6757.0000	0.0000	1610.0000	-7111.0000	4739.0000	20420.0000	335.0000	335.2680	335.0000	1518.0000	6702.0000	981.0000	-5.9100	-5.9100		-1979.0000	-1979.0000	617.0000	8630.0000		-1979.0000	-286.0000	695.0000	0.0000	52.0000	902.0000	902.0000	24022.0000	-7111.0000	0.0000	-725.0000	826.0000	0.0000	2907.0000	14	0000006201	A	0.3500	USA	4512
001045	20121231	2012	INDL	C	D	STD	AAL	AMERICAN AIRLINES GROUP INC	USD	626.0000	7072.0000	0.0000	1888.0000	-7987.0000	4742.0000	20529.0000	335.0000	335.2920	335.0000	1419.0000	7116.0000	940.0000	-5.6000	-5.6000		-1876.0000	-1876.0000	580.0000	9304.0000		-1876.0000	494.0000	1434.0000	0.0000	44.0000	1124.0000	1124.0000	24855.0000	-7987.0000	-569.0000		662.0000	0.0000	2892.0000	14	0000006201	A	0.7950	USA	4512
001045	20131231	2013	INDL	C	D	STD	AAL	AMERICAN AIRLINES GROUP INC	USD	1465.0000	14323.0000	-206.0000	3114.0000	-2731.0000	10286.0000	19084.0000	163.0460	261.0690	163.0460	1446.0000	15353.0000	1021.0000	-11.2500	-11.2500		-1834.0000	-1834.0000	1012.0000	13806.0000		-1834.0000	1935.0000	2956.0000	0.0000	41.0000	1560.0000	1560.0000	26712.0000	-2731.0000	-346.0000	-33.0000	692.0000		4672.0000	14	0000006201	A	25.2500	USA	4512
001045	20141231	2014	INDL	C	D	STD	AAL	AMERICAN AIRLINES GROUP INC	USD	1260.0000	12112.0000	0.0000	5311.0000	2021.0000	8077.0000	29511.0000	734.0160	697.4750	717.4560	1708.0000	16196.0000	1512.0000	3.9300	3.9300		2882.0000	2882.0000	1004.0000	13435.0000		2882.0000	5073.0000	6585.0000	0.0000	17.0000	1771.0000	1771.0000	42650.0000	2021.0000	330.0000		915.0000		6554.0000	14	0000006201	A	53.6300	USA	4512
001045	20151231	2015	INDL	C	D	STD	AAL	AMERICAN AIRLINES GROUP INC	USD	748.0000	9985.0000	0.0000	6151.0000	5635.0000	6949.0000	25416.0000	687.3550	624.6220	668.3930	2231.0000	18330.0000	1607.0000	11.0700	11.0700		7610.0000	7610.0000	863.0000	13605.0000	0.0000	7610.0000	7284.0000	8891.0000	0.0000	41.0000	1425.0000	1425.0000	40990.0000	5635.0000	-2994.0000		932.0000		6683.0000	14	0000006201	A	42.3500	USA	4512
001045	20161231	2016	INDL	C	D	STD	AAL	AMERICAN AIRLINES GROUP INC	USD	639.0000	10324.0000	0.0000	5731.0000	3785.0000	6997.0000	25695.0000	556.0990	507.2940	552.3080	1855.0000	22489.0000	1826.0000	4.8100	4.8100		2676.0000	2676.0000	1094.0000	13872.0000	0.0000	2676.0000	6007.0000	7833.0000	0.0000	36.0000	1594.0000	1594.0000	40180.0000	3785.0000	1623.0000		1036.0000		6652.0000	14	0000006201	A	46.6900	USA	4512
001045	20171231	2017	INDL	C	D	STD	AAL	AMERICAN AIRLINES GROUP INC	USD	651.0000	9146.0000	0.0000	5971.0000	3926.0000	5384.0000	28262.0000	491.6920	475.5080	489.1640	2554.0000	22511.0000	2017.0000	3.9000	3.9000		1919.0000	1919.0000	1359.0000	14964.0000	0.0000	1919.0000	4792.0000	6809.0000	0.0000	24.0000	1752.0000	1752.0000	42207.0000	3926.0000	1165.0000		1102.0000		7136.0000	14	0000006201	A	52.0300	USA	4512
001045	20181231	2018	INDL	C	D	STD	AAL	AMERICAN AIRLINES GROUP INC	USD	495.0000	8637.0000	0.0000	3745.0000	-169.0000	4914.0000	31365.0000	465.6600	460.6110	464.2360	4948.0000	29081.0000	2157.0000	3.0300	3.0300	-26.0000	1412.0000	1412.0000	1522.0000	18096.0000	0.0000	1412.0000	3449.0000	5606.0000	0.0000	29.0000	1706.0000	1706.0000	44541.0000	-169.0000	472.0000		1056.0000		7570.0000	14	0000006201	A	32.1100	USA	4512
001045	20191231	2019	INDL	C	D	STD	AAL	AMERICAN AIRLINES GROUP INC	USD	621.0000	8206.0000	0.0000	4268.0000	-118.0000	3984.0000	32027.0000	444.2690	428.2030	443.3630	4569.0000	28875.0000	2318.0000	3.7900	3.7900		1686.0000	1686.0000	1851.0000	18311.0000	0.0000	1686.0000	3706.0000	6024.0000	0.0000	31.0000	1750.0000	1750.0000	45768.0000	-118.0000	570.0000		1095.0000		7717.0000	14	0000006201	A	28.6800	USA	4512
001230	20001231	2000	INDL	C	D	STD	ALK	ALASKA AIR GROUP INC	USD	198.2000	805.7000	0.0000	448.6000	862.3000	461.7000	2003.0000	26.4400	26.4570	26.4400	66.7000	609.2000	170.8000	-2.6600	-0.5100		-13.4000	-13.4000	63.7000	710.8000	0.0000	-70.3000	3.4000	174.2000	0.0000	1.7000	82.1000	82.1000	2177.2000	862.3000	-2.3000		36.0000			11	0000766421	A	29.7500	USA	4512
