letter_type,date_trans,cik,Name,Business
UPLOAD,2018-09-07,319687,United Airlines Inc,IL
UPLOAD,2018-12-04,793733,Skywest Inc,UT
CORRESP,2018-12-17,793733,Skywest Inc,UT
UPLOAD,2019-01-31,793733,Skywest Inc,UT
CORRESP,2019-03-28,894081,Air Transport Services Group Inc,OH
UPLOAD,2019-04-01,1158463,Jetblue Airways Corp,NY
CORRESP,2019-04-12,1158463,Jetblue Airways Corp,NY
UPLOAD,2019-04-22,1158463,Jetblue Airways Corp,NY
UPLOAD,2019-05-02,27904,Delta Air Lines Inc,GA
CORRESP,2019-05-15,27904,Delta Air Lines Inc,GA
UPLOAD,2019-06-10,27904,Delta Air Lines Inc,GA
UPLOAD,2019-08-15,894081,Air Transport Services Group Inc,OH
CORRESP,2019-08-23,894081,Air Transport Services Group Inc,OH
UPLOAD,2019-08-29,894081,Air Transport Services Group Inc,OH
